time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1767952800,354.15,360,360.5,352.7,354.85,0.7,86250400,10976800,0,0,0,0.0,0,354.85
1768212000,350.55,352.1,354.6,348.1,351.95,1.4,87416800,10651200,0,0,1.35,1.35,1166400,-2.9
1768298400,349.75,351,352.3,345.85,350.35,0.6,87489600,11228800,0,0,0.08,0.08,72800,-1.6
1768384800,349.8,350.35,354.25,347.75,350.15,0.35,85972800,9917600,0,0,-1.73,-1.73,-1516800,-0.2
1768557600,353.6,352,360,351,353.8,0.2,82998400,15548800,0,0,-3.46,-3.46,-2974400,3.65
1768816800,344,354,354,338.15,344.05,0.05,82116800,20037600,0,0,-1.06,-1.06,-881600,-9.75
1768903200,337.85,344.05,346.5,336.65,337.5,-0.35,79692000,16120000,0,0,-2.95,-2.95,-2424800,-6.55
1768989600,339.25,335.55,343.5,334,339.1,-0.15,55964800,33391200,0,0,-29.77,-29.77,-23727200,1.6
1769076000,347.3,343,352.65,343,348.3,1.0,30078400,38541600,0,0,-46.25,-46.25,-25886400,9.2
1769162400,344.45,348.55,351.5,343.05,345.1,0.65,19094400,31078400,0,0,-36.52,-36.52,-10984000,-3.2
1769508000,340.55,341.7,344.8,336,339.95,-0.6,8701600,19700000,0,0,-54.43,-54.43,-10392800,-5.15
1769594400,340.45,342,347.65,338.15,341.95,1.5,78584800,11205600,0,0,803.11,803.11,69883200,2.0
1769680800,351.8,343,354.75,337.3,353.85,2.05,78738400,19138400,0,0,0.2,0.2,153600,11.9
1769767200,350.05,352,354.75,349.5,350.8,0.75,78708800,7642400,0,0,-0.04,-0.04,-29600,-3.05
1769940000,344.65,353.8,361.2,340,342.6,-2.05,79336000,14676000,0,0,0.8,0.8,627200,-8.2
